Model Name,Difficulty,True Label,Predicted: Backward,Predicted: Down,Predicted: For-Back,Predicted: Forward,Predicted: Left,Predicted: Right,Predicted: Right-Left,Predicted: Up,Predicted: Up-Down,Predicted: None
Qwen2-Audio,Easy,Right,0,0,0,0,0,100,0,0,0,0
Qwen2-Audio,Easy,Left,0,0,0,0,0,100,0,0,0,0
Qwen2-Audio,Mid,Right,0,0,0,0,0,100,0,0,0,0
Qwen2-Audio,Mid,Left,0,0,0,0,0,100,0,0,0,0
Qwen2-Audio,Mid,Up,0,0,0,0,0,100,0,0,0,0
Qwen2-Audio,Mid,Down,0,0,0,0,0,100,0,0,0,0
Qwen2-Audio,Hard,Right,0,0,0,0,0,96,0,4,0,0
Qwen2-Audio,Hard,Left,0,0,0,0,1,96,0,3,0,0
Qwen2-Audio,Hard,Up,0,0,0,0,3,92,0,5,0,0
Qwen2-Audio,Hard,Down,0,0,0,0,1,94,0,5,0,0
Qwen2-Audio,Hard,Forward,0,0,0,0,1,95,0,4,0,0
Qwen2-Audio,Hard,Backward,0,0,0,0,4,93,0,3,0,0
Qwen2-Audio,Dynamic,Right-Left,0,0,0,0,0,0,100,0,0,0
Qwen2-Audio,Dynamic,Up-Down,0,0,0,0,0,0,100,0,0,0
Qwen2-Audio,Dynamic,For-Back,0,0,0,0,0,0,100,0,0,0
Omni-R1,Easy,Right,0,0,0,0,30,70,0,0,0,0
Omni-R1,Easy,Left,0,0,0,0,31,69,0,0,0,0
Omni-R1,Mid,Right,0,0,0,0,76,24,0,0,0,0
Omni-R1,Mid,Left,0,0,0,0,80,18,0,2,0,0
Omni-R1,Mid,Up,0,0,0,0,79,20,0,1,0,0
Omni-R1,Mid,Down,0,0,0,0,72,24,0,3,0,1
Omni-R1,Hard,Right,0,0,0,0,91,9,0,0,0,0
Omni-R1,Hard,Left,0,0,0,0,94,6,0,0,0,0
Omni-R1,Hard,Up,0,0,0,0,86,14,0,0,0,0
Omni-R1,Hard,Down,0,0,0,0,85,15,0,0,0,0
Omni-R1,Hard,Forward,0,0,0,0,90,10,0,0,0,0
Omni-R1,Hard,Backward,0,0,0,0,93,7,0,0,0,0
Omni-R1,Dynamic,Right-Left,0,0,0,0,0,0,7,0,62,31
Omni-R1,Dynamic,Up-Down,0,0,0,0,0,0,7,0,65,28
Omni-R1,Dynamic,For-Back,0,0,0,0,0,0,12,0,67,21
Kimi-Audio,Easy,Right,0,0,0,0,0,100,0,0,0,0
Kimi-Audio,Easy,Left,0,0,0,0,0,100,0,0,0,0
Kimi-Audio,Mid,Right,0,0,0,0,0,35,0,62,0,3
Kimi-Audio,Mid,Left,0,1,0,0,0,30,0,65,0,4
Kimi-Audio,Mid,Up,0,0,0,0,0,27,0,70,0,3
Kimi-Audio,Mid,Down,0,0,0,0,0,32,0,63,0,5
Kimi-Audio,Hard,Right,0,1,0,38,0,13,0,46,0,2
Kimi-Audio,Hard,Left,0,1,0,43,1,7,0,48,0,0
Kimi-Audio,Hard,Up,0,1,0,39,0,6,0,53,0,1
Kimi-Audio,Hard,Down,0,1,0,35,2,10,0,49,0,3
Kimi-Audio,Hard,Forward,0,1,0,37,0,10,0,51,0,1
Kimi-Audio,Hard,Backward,0,2,0,44,0,7,0,45,0,2
Kimi-Audio,Dynamic,Right-Left,0,0,0,0,0,0,39,0,47,14
Kimi-Audio,Dynamic,Up-Down,0,0,0,0,0,0,26,0,58,16
Kimi-Audio,Dynamic,For-Back,0,0,0,0,0,0,31,0,52,17
Audio-Flamingo-3,Easy,Right,0,0,0,0,1,99,0,0,0,0
Audio-Flamingo-3,Easy,Left,0,0,0,0,2,98,0,0,0,0
Audio-Flamingo-3,Mid,Right,0,0,0,0,0,100,0,0,0,0
Audio-Flamingo-3,Mid,Left,0,0,0,0,0,100,0,0,0,0
Audio-Flamingo-3,Mid,Up,0,0,0,0,0,99,0,1,0,0
Audio-Flamingo-3,Mid,Down,0,0,0,0,0,99,0,1,0,0
Audio-Flamingo-3,Hard,Right,0,0,0,0,0,99,0,1,0,0
Audio-Flamingo-3,Hard,Left,0,0,0,0,0,99,0,1,0,0
Audio-Flamingo-3,Hard,Up,0,0,0,0,0,97,0,3,0,0
Audio-Flamingo-3,Hard,Down,0,0,0,0,0,96,0,4,0,0
Audio-Flamingo-3,Hard,Forward,0,0,0,0,0,99,0,1,0,0
Audio-Flamingo-3,Hard,Backward,0,0,0,0,0,98,0,2,0,0
Audio-Flamingo-3,Dynamic,Right-Left,0,0,0,0,0,0,100,0,0,0
Audio-Flamingo-3,Dynamic,Up-Down,0,0,0,0,0,0,100,0,0,0
Audio-Flamingo-3,Dynamic,For-Back,0,0,0,0,0,0,100,0,0,0
